epoch,train_loss,train_acc,val_loss,val_acc
1,0.9452483187283366,0.7079501804213713,0.5046687799951305,0.8206521739130435
2,0.4112686675678045,0.8620649516936328,0.39924605385116907,0.8641304347826086
3,0.3028910281827183,0.8958212082411826,0.42997802340466046,0.8586956521739131
4,0.24210876667684095,0.9140961471307182,0.40326032431229303,0.8770380434782609
5,0.21068293089160903,0.9277150506343849,0.3449521336866462,0.890625
6,0.18251299710660052,0.9355139099057153,0.3693116274864777,0.9021739130434783
7,0.15585797904929796,0.9459899895239203,0.3309620430935984,0.9008152173913043
8,0.13038085997035265,0.9541380514491911,0.316636196297148,0.90625
9,0.1144075844800697,0.9603072983354674,0.31760582198267395,0.9103260869565217
10,0.11271072661185651,0.9573972762192993,0.3312073913605317,0.9014945652173914
11,0.0913546600272486,0.9665929461063905,0.302778132583784,0.9184782608695652
12,0.0865997202860712,0.9717145850308463,0.3525193942629773,0.8960597826086957
13,0.06996088153606222,0.976021417762775,0.34930893973163935,0.90625
14,0.06277376798059288,0.9796298451868234,0.29762653488179913,0.9184782608695652
15,0.05837574644015757,0.9798626469561169,0.3156490507333175,0.9164402173913043
16,0.05309772608360941,0.9826562681876382,0.3159920890694079,0.9198369565217391
17,0.047334686256374915,0.9852170876498662,0.3116199140963347,0.9177989130434783
18,0.04754220669153142,0.9841694796880456,0.31027753068053204,0.9164402173913043
19,0.04227881350239821,0.9863810964963333,0.3102319421975509,0.9157608695652174
20,0.043346831088723274,0.9846350832266325,0.3072963356971741,0.9171195652173914
