epoch,train_loss,train_acc,val_loss,val_acc
1,1.3401468610868916,0.6066781242327522,0.9672058622309025,0.7181208053691275
2,0.5574256291692098,0.8232261232506751,0.5385764739657408,0.8187919463087249
3,0.4190092187181843,0.859317456420329,0.5303608867946087,0.8268456375838926
4,0.31668604783422966,0.8968819052295606,0.4987172770820208,0.8563758389261745
5,0.28203270036847006,0.909403388165971,0.5084569218974786,0.8335570469798658
6,0.24730091319567385,0.9219248711023815,0.5887647155147271,0.8295302013422818
7,0.20956317567683366,0.9287994107537442,0.46066011646449967,0.8657718120805369
8,0.18095371140299282,0.9373925853179474,0.51795990627084,0.8456375838926175
9,0.14156692893752632,0.9558065308126688,0.5055406847256142,0.8550335570469799
10,0.11848033689238678,0.9612079548244538,0.513646823207804,0.851006711409396
11,0.11943629784466095,0.9604713970046649,0.46414922251797364,0.8684563758389262
12,0.10211583106370865,0.9673459366560275,0.47036307714129455,0.8791946308724832
13,0.10095481274810933,0.9688190522956052,0.5125212525361337,0.851006711409396
14,0.08082317007559686,0.9759391112202308,0.5014053013500751,0.8778523489932886
15,0.06424817683716211,0.9791308617726492,0.46818264162780454,0.8818791946308725
16,0.06380283794364222,0.9813405352320157,0.4951001587330095,0.87248322147651
17,0.06472970726391611,0.9793763810459121,0.5242720343922609,0.8671140939597315
18,0.06434836634566238,0.9808494966854898,0.4835356192300784,0.8697986577181208
19,0.05623524759139471,0.9833046894181193,0.5052688637835867,0.8657718120805369
20,0.04486762976565204,0.9874785170635895,0.5062769323387402,0.8630872483221477
21,0.04956266173478714,0.9840412472379082,0.5009785822573924,0.8738255033557047
22,0.05042183712438543,0.9847778050576971,0.5175381997287674,0.8671140939597315
23,0.04766751983583251,0.9842867665111711,0.506001165009185,0.8778523489932886
24,0.03649925371975424,0.9896881905229561,0.5057342323680852,0.8845637583892617
25,0.0332380775852438,0.9904247483427449,0.5118948085996129,0.8751677852348994
26,0.03312625289109659,0.9911613061625337,0.5263286400961396,0.8791946308724832
27,0.034924123113805265,0.9911613061625337,0.5075334953781743,0.8832214765100671
28,0.030968151108553624,0.9914068254357967,0.49860748332618865,0.8885906040268456
29,0.03563859414152861,0.9896881905229561,0.5038600565603115,0.8859060402684564
30,0.03472017764833887,0.9904247483427449,0.5046598767274179,0.8859060402684564
