epoch,train_loss,train_acc,val_loss,val_acc
1,1.543760666506631,0.5319047619047619,0.9315288028085088,0.7108433734939759
2,0.6782164401667459,0.7761904761904762,0.7132608514234244,0.8
3,0.43011864125728605,0.8638095238095238,0.7569356523364423,0.8
4,0.34484164760226294,0.8804761904761905,0.7132062397807477,0.8144578313253013
5,0.28340075020279204,0.9104761904761904,0.6766204674559904,0.8168674698795181
6,0.2410034529864788,0.92,0.6609742694590465,0.8313253012048193
7,0.2050673889688083,0.930952380952381,0.7487655550600535,0.8048192771084337
8,0.17554384594517095,0.9428571428571428,0.723453446468675,0.8313253012048193
9,0.18418572590464638,0.94,0.6586497994790594,0.8216867469879519
10,0.133500388775553,0.9538095238095238,0.5867800300379834,0.8602409638554217
11,0.1385745613631748,0.9528571428571428,0.6264111296240106,0.8650602409638555
12,0.06621452065450804,0.9814285714285714,0.6370535367942718,0.8457831325301205
13,0.07299727410787628,0.9771428571428571,0.6245459352631166,0.8602409638554217
14,0.06432828336954116,0.98,0.7349856069289058,0.8481927710843373
15,0.0864359476452782,0.9695238095238096,0.6300518955092832,0.8722891566265061
16,0.05559412155832563,0.9838095238095238,0.5841588791594448,0.8650602409638555
17,0.06517535695007869,0.9814285714285714,0.6700018220637218,0.8433734939759037
18,0.05151354267838455,0.9842857142857143,0.7693024259015738,0.8144578313253013
19,0.04168979060436998,0.9852380952380952,0.6606822704694357,0.8722891566265061
20,0.03921834763849066,0.99,0.6261785016002426,0.8674698795180723
21,0.0339729062077545,0.9895238095238095,0.7103713409010186,0.8337349397590361
22,0.028910613861821945,0.9928571428571429,0.6895979864051544,0.8506024096385543
23,0.027509469812115033,0.9942857142857143,0.6552701466054801,0.8650602409638555
24,0.02896807460203057,0.9909523809523809,0.6318968748471823,0.8650602409638555
25,0.028462140049253192,0.9933333333333333,0.6544014758374318,0.8650602409638555
26,0.01936066457181282,0.9947619047619047,0.6440761609249804,0.8674698795180723
27,0.02466346252709627,0.9928571428571429,0.6400292083441493,0.8650602409638555
28,0.01841974763643174,0.9966666666666667,0.6376346500523119,0.8650602409638555
29,0.01970724849651257,0.9947619047619047,0.6383590793035117,0.8626506024096385
30,0.02172824547359986,0.9928571428571429,0.6382070607449635,0.8650602409638555
